id;post_id;account_id;username;account_name;description;duration;published_at;permalink;post_type;views;reach;likes;shares;follows;comments;saves;created_at;updated_at
d251b141-812c-4c66-a00c-736dd69b80d5;18092790911064251;17841403684060377;nadsongl;Nadson;Mais um dia 🤷🏾‍♀️;9;2028-04-01 11:49:00+00;https://www.instagram.com/reel/DUD8XApDu6F/;Reel do Instagram;2115;1309;90;1;0;0;2;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
9dfedf7c-a83b-48a3-a190-0a19d7d4876c;18054298727418725;17841403684060377;nadsongl;Nadson;;37;2028-03-01 16:59:00+00;https://www.instagram.com/reel/DUB7HKHAaNW/;Reel do Instagram;1556;1231;47;5;2;1;17;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
f5151adc-433b-4951-88a1-2c348733f495;18012248528662159;17841403684060377;nadsongl;Nadson;Papo reto, straight 👍🏾;48;2028-02-01 15:16:00+00;https://www.instagram.com/reel/DT_KeYageqY/;Reel do Instagram;1816;1514;134;10;2;5;16;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
61e2f3f9-7e6a-4de7-99d3-8e832f847a54;17996271908736061;17841403684060377;nadsongl;Nadson;Sem condições 🤦🏾‍♀️;24;2028-02-01 13:53:00+00;https://www.instagram.com/reel/DT_A5gXAaVZ/;Reel do Instagram;1686;1221;115;2;0;2;1;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
99157ae1-0435-445f-bc77-6dee7aa6f51e;17873865942412003;17841403684060377;nadsongl;Nadson;🤓🤓🤓;53;2028-01-01 10:08:00+00;https://www.instagram.com/reel/DT8CLIlDs9r/;Reel do Instagram;2776;2113;139;8;2;4;2;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
f8e7075e-ddaf-4151-9ff2-7c5a97b86718;18091620094966922;17841403684060377;nadsongl;Nadson;Pega visão 😉;72;2028-01-01 07:53:00+00;https://www.instagram.com/reel/DT7yyVDjoRI/;Reel do Instagram;280941;220360;31149;10270;216;436;2437;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
a4286856-696c-4fc2-970e-f8a862996014;17955365487056973;17841403684060377;nadsongl;Nadson;Oxi entendi nd 😂😂😂;25;2027-12-01 19:56:00+00;https://www.instagram.com/reel/DT6g4F1Do4Z/;Reel do Instagram;4104;2917;209;2;0;6;2;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
ca00d4f0-e9d5-4fcb-8e68-230faa642ebb;17936461737147885;17841403684060377;nadsongl;Nadson;Entendi nada kkkkjj;28;2027-12-01 15:42:00+00;https://www.instagram.com/reel/DT6DwkEATNw/;Reel do Instagram;2447;1811;81;9;2;9;0;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
9b4606eb-be90-4c66-8fbe-7ae438664a5c;18102690385636458;17841403684060377;nadsongl;Nadson;Humildade pura 🤣;13;2027-12-01 13:32:00+00;https://www.instagram.com/reel/DT509L7gVRy/;Reel do Instagram;18315;13856;505;4;1;7;8;2026-02-08 03:51:29.951457+00;2026-02-16 18:21:34.745131+00
b3886d35-c4ba-4f8b-8898-0dd9c3621a03;18085283195324679;17841403684060377;nadsongl;Nadson;Valorize seu dinheiro;40;2027-11-01 13:53:00+00;https://www.instagram.com/reel/DT3SirfgQKw/;Reel do Instagram;6011;4039;501;51;12;19;50;2026-02-07 20:12:00.127528+00;2026-02-16 18:21:34.745131+00
31c17a1b-af11-48e7-8df1-6e81f24a208f;18110864980567302;17841403684060377;nadsongl;Nadson;Aql amigo que se acha piloto 😂;18;2027-11-01 08:47:00+00;https://www.instagram.com/reel/DT2vkuOjofO/;Reel do Instagram;2048;1458;76;0;0;13;0;2026-02-07 20:12:00.694826+00;2026-02-16 18:21:34.745131+00
0d45eaec-bc5f-4a0c-b456-ed33f3f36186;17985697676939059;17841403684060377;nadsongl;Nadson;Inimigo da vergonha;28;2027-10-01 10:16:00+00;https://www.instagram.com/reel/DT0VARwjmTc/;Reel do Instagram;9387;6928;589;35;2;42;16;2026-02-07 20:12:01.251789+00;2026-02-16 18:21:34.745131+00
4f2036c3-3a3c-4272-9789-cea6379d046b;18064350074265602;17841403684060377;nadsongl;Nadson;Qnd vcs são compatíveis;34;2027-10-01 08:25:00+00;https://www.instagram.com/reel/DT0IQUKDojQ/;Reel do Instagram;1970;1472;122;34;5;14;3;2026-02-07 20:12:01.788786+00;2026-02-16 18:21:34.745131+00
